"","SOC","Occupation","Job Postings","Median Hourly Earnings","Typical Entry Level Education","Pct. 25 Hourly Earnings","Pct. 75 Hourly Earnings","deduplicated"
"59","49-1011","Supervisors of Mechanics, Installers, & Repairers",117,28.11,"High school diploma or equivalent","$20.86","$36.94",93.6
"60","29-1171","Nurse Practitioners",115,44.34,"Master's degree","$39.50","$49.53",92
"61","43-5061","Production, Planning, & Expediting Clerks",113,21.34,"High school diploma or equivalent","$16.72","$27.04",90.4
"62","51-2092","Team Assemblers",107,16.9,"High school diploma or equivalent","$12.95","$24.27",85.6
"63","43-9061","Office Clerks, General",106,13.94,"High school diploma or equivalent","$10.90","$17.68",84.8
"64","41-9022","Real Estate Sales Agents",105,15.6,"High school diploma or equivalent","$13.08","$19.70",84
"65","11-3051","Industrial Production Managers",104,37.78,"Bachelor's degree","$30.37","$47.39",83.2
"66","43-5071","Shipping, Receiving, & Traffic Clerks",103,14.87,"High school diploma or equivalent","$12.20","$18.75",82.4
"67","29-1051","Pharmacists",101,60.41,"Doctoral or professional degree","$54.29","$68.29",80.8
"68","29-2012","Medical & Clinical Laboratory Technicians",100,19.43,"Associate's degree","$15.56","$23.59",80
"69","11-3121","Human Resources Managers",97,42.66,"Bachelor's degree","$33.45","$53.97",77.6
"70","29-1063","Internists, General",97,102.02,"Doctoral or professional degree","$80.92","$115.40",77.6
"71","11-2021","Marketing Managers",95,46.53,"Bachelor's degree","$34.78","$61.57",76
"72","17-2071","Electrical Engineers",91,40.31,"Bachelor's degree","$33.24","$47.74",72.8
"73","17-2141","Mechanical Engineers",90,37.41,"Bachelor's degree","$29.95","$46.51",72
"74","15-1134","Web Developers",87,22.51,"Associate's degree","$18.97","$28.36",69.6
"75","53-7064","Packers & Packagers, Hand",87,11.19,"No formal educational credential","$9.64","$13.34",69.6
"76","17-2199","Engineers, All Other",86,39.36,"Bachelor's degree","$30.16","$49.49",68.8
"77","15-1142","Network & Computer Systems Administrators",85,31.27,"Bachelor's degree","$24.45","$40.41",68
"78","17-2112","Industrial Engineers",85,34.67,"Bachelor's degree","$28.87","$42.07",68
"79","43-9021","Data Entry Keyers",84,15.82,"High school diploma or equivalent","$12.21","$19.23",67.2
"80","11-3071","Transportation, Storage, & Distribution Managers",82,39.44,"High school diploma or equivalent","$30.41","$50.37",65.6
"81","29-1127","Speech-Language Pathologists",81,38.81,"Master's degree","$31.31","$48.26",64.8
"82","33-9099","Protective Service Workers, All Other",81,18.18,"High school diploma or equivalent","$12.88","$23.78",64.8
"83","53-7051","Industrial Truck & Tractor Operators",81,15.33,"No formal educational credential","$13.15","$18.47",64.8
"84","21-1012","Educational, Guidance, School, & Vocational Counselors",79,25.53,"Master's degree","$18.17","$34.72",63.2
"85","41-3031","Securities, Commodities, & Financial Services Sales Agents",79,23.82,"Bachelor's degree","$15.62","$47.51",63.2
"86","43-4081","Hotel, Motel, & Resort Desk Clerks",76,9.79,"High school diploma or equivalent","$8.92","$11.07",60.8
"87","25-2054","Special Education Teachers, Secondary School",74,28.35,"Bachelor's degree","$23.89","$33.31",59.2
"88","41-4011","Sales Reps, Wholesale & Manufacturing, Technical",74,42.38,"Bachelor's degree","$31.02","$58.92",59.2
"89","43-3071","Tellers",70,13.38,"High school diploma or equivalent","$11.37","$15.57",56
"90","35-9021","Dishwashers",66,9.48,"No formal educational credential","$8.72","$10.54",52.8
"91","15-1143","Computer Network Architects",64,39.93,"Bachelor's degree","$28.49","$53.21",51.2
"92","25-2011","Preschool Teachers, Except Special Education",64,19.63,"Associate's degree","$13.29","$25.64",51.2
"93","49-9021","Heating, Air Conditioning, & Refrigeration Mechanics & Installers",63,18.2,"Postsecondary nondegree award","$15.08","$22.58",50.4
"94","39-9032","Recreation Workers",62,11.47,"High school diploma or equivalent","$9.24","$15.88",49.6
"95","49-3031","Bus & Truck Mechanics & Diesel Engine Specialists",62,20.58,"High school diploma or equivalent","$16.84","$26.06",49.6
"96","43-3051","Payroll & Timekeeping Clerks",61,19.76,"High school diploma or equivalent","$16.49","$23.25",48.8
"97","49-3023","Automotive Service Technicians & Mechanics",58,15.53,"Postsecondary nondegree award","$11.98","$20.09",46.4
"98","29-2055","Surgical Technologists",57,20.76,"Postsecondary nondegree award","$17.78","$24.05",45.6
"99","35-2021","Food Preparation Workers",57,9.83,"No formal educational credential","$8.87","$11.63",45.6
"100","29-1071","Physician Assistants",56,46.89,"Master's degree","$42.74","$52.98",44.8
"101","41-3099","Sales Reps, Services, All Other",56,21.75,"High school diploma or equivalent","$15.86","$31.41",44.8
"102","13-1199","Business Operations Specialists, All Other",55,29.31,"Bachelor's degree","$22.43","$38.71",44
"103","43-4061","Eligibility Interviewers, Government Programs",55,19.06,"High school diploma or equivalent","$16.02","$22.13",44
"104","11-9151","Social & Community Service Managers",54,27.1,"Bachelor's degree","$21.62","$34.32",43.2
"105","23-2011","Paralegals & Legal Assistants",54,22.49,"Associate's degree","$18.63","$27.46",43.2
"106","37-1011","Supervisors of Housekeeping & Janitorial Workers",54,17.29,"High school diploma or equivalent","$13.95","$22.04",43.2
"107","43-4161","Human Resources Assistants, Except Payroll & Timekeeping",54,18.11,"Associate's degree","$14.71","$21.21",43.2
"108","47-2031","Carpenters",54,16.65,"High school diploma or equivalent","$14.34","$19.83",43.2
"109","47-2111","Electricians",54,24.5,"High school diploma or equivalent","$18.80","$31.29",43.2
"110","11-9041","Architectural & Engineering Managers",53,54.61,"Bachelor's degree","$44.44","$64.03",42.4
"111","21-1014","Mental Health Counselors",53,16.84,"Master's degree","$13.95","$20.66",42.4
"112","29-1126","Respiratory Therapists",52,24.57,"Associate's degree","$21.41","$28.55",41.6
"113","29-2053","Psychiatric Technicians",52,13.87,"Postsecondary nondegree award","$11.79","$17.64",41.6
"114","43-5111","Weighers, Measurers, Checkers, & Samplers, Recordkeeping",52,13.45,"High school diploma or equivalent","$10.87","$17.53",41.6
"115","13-1023","Purchasing Agents, Except Wholesale, Retail, & Farm Products",51,24.59,"Bachelor's degree","$19.25","$31.55",40.8
"116","13-1081","Logisticians",51,38.21,"Bachelor's degree","$30.21","$52.41",40.8
"117","13-2072","Loan Officers",51,33.49,"Bachelor's degree","$23.40","$49.44",40.8
"118","25-3099","Teachers & Instructors, All Other",51,20.51,"Bachelor's degree","$16.09","$25.86",40.8
"119","51-4121","Welders, Cutters, Solderers, & Brazers",51,18.66,"High school diploma or equivalent","$15.32","$22.87",40.8
"120","13-1141","Compensation, Benefits, & Job Analysis Specialists",50,27.73,"Bachelor's degree","$22.28","$34.25",40
"121","13-2052","Personal Financial Advisors",48,29.71,"Bachelor's degree","$21.02","$49.58",38.4
"122","11-9021","Construction Managers",47,28.82,"Bachelor's degree","$22.46","$37.34",37.6
"123","19-4099","Life, Physical, & Social Science Technicians, All Other",47,19.48,"Associate's degree","$14.14","$24.94",37.6
"124","35-9031","Hosts & Hostesses, Restaurant, Lounge, & Coffee Shop",47,9.27,"No formal educational credential","$8.64","$9.90",37.6
"125","11-2031","Public Relations & Fundraising Managers",46,35.85,"Bachelor's degree","$27.01","$50.15",36.8
"126","15-1131","Computer Programmers",46,31.25,"Bachelor's degree","$22.96","$37.75",36.8
"127","27-3031","Public Relations Specialists",46,24.82,"Bachelor's degree","$18.38","$30.98",36.8
"128","31-1011","Home Health Aides",46,10.23,"No formal educational credential","$9.07","$11.62",36.8
"129","29-1062","Family & General Practitioners",45,85.45,"Doctoral or professional degree","$71.59","$97.79",36
"130","29-2011","Medical & Clinical Laboratory Technologists",45,29.86,"Bachelor's degree","$25.10","$34.68",36
"131","13-1151","Training & Development Specialists",44,25.57,"Bachelor's degree","$19.40","$33.73",35.2
"132","43-3011","Bill & Account Collectors",44,17.92,"High school diploma or equivalent","$14.21","$22.40",35.2
"133","15-1122","Information Security Analysts",43,35.98,"Bachelor's degree","$25.74","$49.71",34.4
"134","23-1011","Lawyers",43,43.71,"Doctoral or professional degree","$34.06","$57.89",34.4
"135","29-2032","Diagnostic Medical Sonographers",43,29.51,"Associate's degree","$25.36","$34.68",34.4
"136","43-9051","Mail Clerks & Mail Machine Operators, Except Postal Service",43,13.62,"High school diploma or equivalent","$11.12","$16.30",34.4
"137","11-9033","Education Administrators, Postsecondary",42,31.21,"Master's degree","$22.14","$47.24",33.6
"138","17-3029","Engineering Technicians, Except Drafters, All Other",42,25.27,"Associate's degree","$17.18","$32.95",33.6
"139","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",42,9.63,"No formal educational credential","$8.79","$11.09",33.6
"140","39-5012","Hairdressers, Hairstylists, & Cosmetologists",42,11.39,"Postsecondary nondegree award","$10.49","$13.08",33.6
"141","41-2022","Parts Salespersons",42,13.95,"No formal educational credential","$10.39","$18.84",33.6
"142","11-9141","Property, Real Estate, & Community Association Managers",40,23.05,"High school diploma or equivalent","$18.18","$30.26",32
"143","17-2041","Chemical Engineers",40,44.19,"Bachelor's degree","$35.66","$53.48",32
"144","43-3021","Billing & Posting Clerks",40,17.04,"High school diploma or equivalent","$14.23","$19.79",32
"145","29-2034","Radiologic Technologists",39,24.88,"Associate's degree","$20.38","$29.16",31.2
"146","31-9093","Medical Equipment Preparers",39,14.97,"High school diploma or equivalent","$12.88","$16.89",31.2
"147","31-9097","Phlebotomists",39,15.22,"Postsecondary nondegree award","$12.44","$17.83",31.2
"148","53-6021","Parking Lot Attendants",39,9.53,"No formal educational credential","$8.73","$11.00",31.2
"149","19-3031","Clinical, Counseling, & School Psychologists",38,29.65,"Doctoral or professional degree","$25.72","$35.18",30.4
"150","29-2041","Emergency Medical Technicians & Paramedics",38,14.45,"Postsecondary nondegree award","$11.65","$18.68",30.4
"151","17-2051","Civil Engineers",37,35.2,"Bachelor's degree","$27.35","$44.61",29.6
"152","51-5112","Printing Press Operators",37,17.81,"High school diploma or equivalent","$14.22","$22.19",29.6
"153","51-3011","Bakers",36,11.12,"No formal educational credential","$9.50","$14.16",28.8
"154","53-1021","Supervisors of Helpers, Laborers, & Material Movers, Hand",36,23.88,"High school diploma or equivalent","$18.29","$31.63",28.8
"155","11-3061","Purchasing Managers",35,45.06,"Bachelor's degree","$34.10","$57.35",28
"156","13-1121","Meeting, Convention, & Event Planners",35,18.66,"Bachelor's degree","$14.99","$23.67",28
"157","17-3023","Electrical & Electronics Engineering Technicians",34,23.66,"Associate's degree","$15.81","$31.43",27.2
"158","21-1029","Social Workers, All Other",34,22.79,"Bachelor's degree","$15.19","$34.50",27.2
"159","43-6011","Executive Secretaries & Executive Administrative Assistants",34,21.72,"High school diploma or equivalent","$17.98","$25.95",27.2
"160","51-9012","Separating, Filtering, Clarifying, Precipitating, & Still Machine Setters, Operators, & Tenders",34,20.66,"High school diploma or equivalent","$17.18","$27.92",27.2
"161","11-1011","Chief Executives",33,73.32,"Bachelor's degree","$51.37","$101.82",26.4
"162","25-2022","Middle School Teachers, Except Special & CTE",33,27.91,"Bachelor's degree","$23.31","$33.07",26.4
"163","31-2021","Physical Therapist Assistants",33,27.49,"Associate's degree","$22.62","$32.09",26.4
"164","31-9094","Medical Transcriptionists",33,17.89,"Postsecondary nondegree award","$15.50","$21.26",26.4
"165","41-1012","Supervisors of Non-Retail Sales Workers",33,28.41,"High school diploma or equivalent","$20.42","$38.67",26.4
"166","11-3011","Administrative Services Managers",32,35.42,"Bachelor's degree","$26.23","$46.40",25.6
"167","13-1031","Claims Adjusters, Examiners, & Investigators",32,26.01,"High school diploma or equivalent","$20.05","$33.67",25.6
"168","13-2099","Financial Specialists, All Other",32,28.47,"Bachelor's degree","$21.45","$36.03",25.6
"169","21-1091","Health Educators",32,27.21,"Bachelor's degree","$20.16","$34.85",25.6
"170","43-9199","Office & Administrative Support Workers, All Other",32,16.83,"High school diploma or equivalent","$13.18","$21.21",25.6
"171","51-6011","Laundry & Dry-Cleaning Workers",32,10.12,"No formal educational credential","$9.09","$11.73",25.6
"172","29-1031","Dietitians & Nutritionists",30,27.05,"Bachelor's degree","$23.13","$30.36",24
"173","49-2097","Electronic Home Entertainment Equipment Installers & Repairers",30,17.47,"Postsecondary nondegree award","$14.30","$22.10",24
"174","51-4031","Cutting, Punching, & Press Machine Setters, Operators, & Tenders, Metal & Plastic",30,23.09,"High school diploma or equivalent","$15.65","$29.13",24
"175","13-1041","Compliance Officers",29,26.22,"Bachelor's degree","$20.53","$34.59",23.2
"176","25-9041","Teacher Assistants",29,14.1,"Some college, no degree","$11.73","$17.36",23.2
"177","43-9111","Statistical Assistants",29,18.45,"Bachelor's degree","$15.59","$21.24",23.2
"178","47-2152","Plumbers, Pipefitters, & Steamfitters",29,21.93,"High school diploma or equivalent","$15.89","$30.02",23.2
"179","11-9032","Education Administrators, Elementary & Secondary School",28,45.24,"Master's degree","$38.29","$53.22",22.4
"180","15-2011","Actuaries",27,41.9,"Bachelor's degree","$32.28","$57.84",21.6
"181","29-1064","Obstetricians & Gynecologists",27,102.42,"Doctoral or professional degree","$90.63","$130.59",21.6
"182","29-2031","Cardiovascular Technologists & Technicians",27,25.64,"Associate's degree","$16.89","$34.02",21.6
"183","35-2015","Cooks, Short Order",27,10.03,"No formal educational credential","$8.98","$11.39",21.6
"184","37-3011","Landscaping & Groundskeeping Workers",27,11.67,"No formal educational credential","$10.20","$13.53",21.6
"185","47-2061","Construction Laborers",27,15.53,"No formal educational credential","$13.02","$18.70",21.6
"186","11-9081","Lodging Managers",26,18.72,"High school diploma or equivalent","$15.43","$24.96",20.8
"187","27-1024","Graphic Designers",26,19.6,"Bachelor's degree","$15.84","$24.49",20.8
"188","29-1122","Occupational Therapists",26,39.26,"Master's degree","$33.03","$45.60",20.8
"189","35-1011","Chefs & Head Cooks",26,16.65,"High school diploma or equivalent","$14.48","$21.50",20.8
"190","49-9041","Industrial Machinery Mechanics",26,22.88,"High school diploma or equivalent","$18.94","$27.99",20.8
"191","49-9098","Helpers--Installation, Maintenance, & Repair Workers",26,13.15,"High school diploma or equivalent","$10.54","$16.88",20.8
"192","13-2082","Tax Preparers",25,19.17,"High school diploma or equivalent","$14.82","$28.10",20
"193","21-1093","Social & Human Service Assistants",25,13.44,"High school diploma or equivalent","$10.86","$16.60",20
"194","29-1066","Psychiatrists",25,99.4,"Doctoral or professional degree","$83.44","$110.86",20
"195","35-3041","Food Servers, Nonrestaurant",25,9.79,"No formal educational credential","$8.83","$11.53",20
"196","39-9041","Residential Advisors",25,10.59,"High school diploma or equivalent","$9.16","$12.08",20
"197","41-9099","Sales & Related Workers, All Other",25,14.68,"High school diploma or equivalent","$12.04","$17.75",20
"198","17-1011","Architects, Except Landscape & Naval",24,29.21,"Bachelor's degree","$24.74","$38.06",19.2
"199","31-9095","Pharmacy Aides",24,10.13,"High school diploma or equivalent","$9.09","$11.23",19.2
"200","35-3011","Bartenders",24,9.38,"No formal educational credential","$8.69","$10.22",19.2
"201","35-3022","Counter Attendants, Cafeteria, Food Concession, & Coffee Shop",24,9.52,"No formal educational credential","$8.76","$10.66",19.2
"202","43-5032","Dispatchers, Except Police, Fire, & Ambulance",24,18.6,"High school diploma or equivalent","$14.49","$23.46",19.2
"203","51-3021","Butchers & Meat Cutters",24,15.28,"No formal educational credential","$12.65","$18.69",19.2
"204","53-1031","Supervisors of Transportation & Material-Moving Machine & Vehicle Operators",24,26.85,"High school diploma or equivalent","$21.42","$34.69",19.2
"205","11-3131","Training & Development Managers",23,41.56,"Bachelor's degree","$33.07","$53.60",18.4
"206","19-1042","Medical Scientists, Except Epidemiologists",23,24.05,"Doctoral or professional degree","$20.26","$28.79",18.4
"207","43-6012","Legal Secretaries",23,17.77,"High school diploma or equivalent","$14.58","$21.69",18.4
"208","15-2031","Operations Research Analysts",22,33.45,"Bachelor's degree","$27.35","$39.30",17.6
"209","25-2031","Secondary School Teachers, Except Special & CTE",22,28.15,"Bachelor's degree","$23.19","$33.68",17.6
"210","29-1061","Anesthesiologists",22,102.15,"Doctoral or professional degree","$95.24","$136.58",17.6
"211","43-9041","Insurance Claims & Policy Processing Clerks",22,16.16,"High school diploma or equivalent","$13.51","$18.48",17.6
"212","49-9051","Electrical Power-Line Installers & Repairers",22,25.59,"High school diploma or equivalent","$20.86","$30.43",17.6
"213","25-1194",NA,21,NA,NA,NA,NA,16.8
"214","33-9092","Lifeguards, Ski Patrol, & Other Recreational Protective Service Workers",21,9.26,"No formal educational credential","$8.63","$9.96",16.8
"215","41-2021","Counter & Rental Clerks",21,9.98,"No formal educational credential","$8.89","$13.80",16.8
"216","43-3061","Procurement Clerks",21,19.38,"High school diploma or equivalent","$15.85","$22.75",16.8
"217","51-9198","Helpers--Production Workers",21,11.82,"No formal educational credential","$10.22","$14.40",16.8
"218","13-1051","Cost Estimators",20,28.64,"Bachelor's degree","$22.14","$36.78",16
"219","21-2011","Clergy",20,21.38,"Bachelor's degree","$17.11","$25.75",16
"220","31-9091","Dental Assistants",20,18.11,"Postsecondary nondegree award","$14.85","$21.25",16
"221","39-9031","Fitness Trainers & Aerobics Instructors",20,15.03,"High school diploma or equivalent","$10.76","$19.22",16
"222","49-2098","Security & Fire Alarm Systems Installers",20,18.49,"High school diploma or equivalent","$15.05","$21.77",16
"223","49-9031","Home Appliance Repairers",20,14.48,"High school diploma or equivalent","$11.72","$16.89",16
"224","11-3021","Computer & Information Systems Managers",19,51.5,"Bachelor's degree","$40.24","$65.50",15.2
"225","37-2021","Pest Control Workers",19,13.31,"High school diploma or equivalent","$11.50","$15.83",15.2
"226","43-4131","Loan Interviewers & Clerks",19,16.63,"High school diploma or equivalent","$13.22","$20.53",15.2
"227","53-7061","Cleaners of Vehicles & Equipment",19,10.5,"No formal educational credential","$9.24","$12.82",15.2
"228","17-3019","Drafters, All Other",18,18.61,"Associate's degree","$16.55","$22.66",14.4
"229","25-1199",NA,18,NA,NA,NA,NA,14.4
"230","27-3022","Reporters & Correspondents",18,19.36,"Bachelor's degree","$14.20","$28.17",14.4
"231","31-1015","Orderlies",18,10.96,"High school diploma or equivalent","$9.83","$12.51",14.4
"232","33-9021","Private Detectives & Investigators",18,20.53,"High school diploma or equivalent","$17.94","$25.89",14.4
"233","43-4151","Order Clerks",17,15.39,"High school diploma or equivalent","$12.53","$18.82",13.6
"234","49-2022","Telecommunications Equipment Installers & Repairers, Except Line Installers",17,22.84,"Postsecondary nondegree award","$16.53","$30.15",13.6
"235","49-3093","Tire Repairers & Changers",17,12,"High school diploma or equivalent","$10.56","$14.23",13.6
"236","27-1029","Designers, All Other",16,21.51,"Bachelor's degree","$16.80","$27.27",12.8
"237","27-3041","Editors",16,21.1,"Bachelor's degree","$17.32","$28.06",12.8
"238","27-3043","Writers & Authors",16,17.41,"Bachelor's degree","$14.50","$20.90",12.8
"239","39-3093","Locker Room, Coatroom, & Dressing Room Attendants",16,10.27,"High school diploma or equivalent","$9.20","$12.70",12.8
"240","49-9052","Telecommunications Line Installers & Repairers",16,22.51,"High school diploma or equivalent","$16.49","$28.09",12.8
"241","11-9031","Education Administrators, Preschool & Childcare Center/Program",15,19.06,"Bachelor's degree","$15.99","$24.58",12
"242","15-2041","Statisticians",15,36.91,"Master's degree","$31.32","$46.02",12
"243","17-2111","Health & Safety Engineers, Except Mining Safety Engineers & Inspectors",15,33.04,"Bachelor's degree","$25.31","$39.34",12
"244","27-4021","Photographers",15,14.64,"High school diploma or equivalent","$12.51","$18.29",12
"245","31-2011","Occupational Therapy Assistants",15,27.66,"Associate's degree","$22.72","$32.46",12
"246","39-2021","Nonfarm Animal Caretakers",15,10.03,"High school diploma or equivalent","$9.00","$12.26",12
"247","51-2011","Aircraft Structure, Surfaces, Rigging, & Systems Assemblers",15,23.17,"High school diploma or equivalent","$18.28","$30.11",12
"248","21-1022","Healthcare Social Workers",14,22.26,"Master's degree","$17.89","$26.84",11.2
"249","25-3021","Self-Enrichment Education Teachers",14,16.17,"High school diploma or equivalent","$13.00","$18.93",11.2
"250","27-2012","Producers & Directors",14,22.62,"Bachelor's degree","$17.81","$30.63",11.2
"251","29-1021","Dentists, General",14,71.31,"Doctoral or professional degree","$59.60","$85.51",11.2
"252","29-1067","Surgeons",14,103.95,"Doctoral or professional degree","$101.00","$138.54",11.2
"253","29-2021","Dental Hygienists",14,31.09,"Associate's degree","$27.56","$35.11",11.2
"254","29-9011","Occupational Health & Safety Specialists",14,31.84,"Bachelor's degree","$23.70","$42.68",11.2
"255","43-5021","Couriers & Messengers",14,11.25,"High school diploma or equivalent","$9.97","$13.38",11.2
"256","49-2092","Electric Motor, Power Tool, & Related Repairers",14,19.04,"Postsecondary nondegree award","$15.36","$22.19",11.2
"257","11-3111","Compensation & Benefits Managers",13,48.98,"Bachelor's degree","$34.43","$63.59",10.4
"258","13-2041","Credit Analysts",13,33.65,"Bachelor's degree","$25.40","$50.93",10.4
"259","25-2059","Special Education Teachers, All Other",13,25.33,"Bachelor's degree","$19.36","$30.28",10.4
"260","27-3091","Interpreters & Translators",13,22.36,"Bachelor's degree","$19.21","$27.25",10.4
"261","29-1151","Nurse Anesthetists",13,83.49,"Master's degree","$68.48","$98.90",10.4
"262","29-9091","Athletic Trainers",13,20.36,"Bachelor's degree","$17.19","$25.24",10.4
"263","41-3011","Advertising Sales Agents",13,21.25,"High school diploma or equivalent","$15.71","$30.98",10.4
"264","49-3042","Mobile Heavy Equipment Mechanics, Except Engines",13,21.81,"High school diploma or equivalent","$18.05","$25.84",10.4
"265","53-3041","Taxi Drivers & Chauffeurs",13,9.9,"No formal educational credential","$9.07","$11.59",10.4
"266","17-3013","Mechanical Drafters",12,22.29,"Associate's degree","$18.61","$26.70",9.6
"267","21-1013","Marriage & Family Therapists",12,16.57,"Master's degree","$11.62","$20.70",9.6
"268","25-9031","Instructional Coordinators",12,27.26,"Master's degree","$21.60","$36.22",9.6
"269","27-1025","Interior Designers",12,24.45,"Bachelor's degree","$18.46","$29.79",9.6
"270","29-1125","Recreational Therapists",12,19.78,"Bachelor's degree","$16.35","$24.00",9.6
"271","31-9099","Healthcare Support Workers, All Other",12,14.36,"High school diploma or equivalent","$11.57","$18.46",9.6
"272","33-1099","Supervisors of Protective Service Workers, All Other",12,17.97,"High school diploma or equivalent","$13.39","$23.15",9.6
"273","41-3041","Travel Agents",12,13.72,"High school diploma or equivalent","$10.84","$17.83",9.6
"274","49-3021","Automotive Body & Related Repairers",12,20.74,"High school diploma or equivalent","$16.22","$25.52",9.6
"275","49-9012","Control & Valve Installers & Repairers, Except Mechanical Door",12,20.7,"High school diploma or equivalent","$15.72","$27.88",9.6
"276","49-9099","Installation, Maintenance, & Repair Workers, All Other",12,14.91,"High school diploma or equivalent","$11.67","$19.06",9.6
"277","51-4041","Machinists",12,21.71,"High school diploma or equivalent","$16.96","$26.37",9.6
"278","51-9111","Packaging & Filling Machine Operators & Tenders",12,14.81,"High school diploma or equivalent","$11.56","$17.96",9.6
"279","15-1152","Computer Network Support Specialists",11,24.09,"Associate's degree","$19.26","$29.95",8.8
"280","21-1019","Counselors, All Other",11,20.69,"Master's degree","$14.59","$25.69",8.8
"281","31-2012","Occupational Therapy Aides",11,12.93,"High school diploma or equivalent","$10.81","$16.59",8.8
"282","41-9031","Sales Engineers",11,31.04,"Bachelor's degree","$23.76","$40.69",8.8
"283","41-9041","Telemarketers",11,11.37,"No formal educational credential","$10.00","$13.59",8.8
"284","11-9121","Natural Sciences Managers",10,51.96,"Bachelor's degree","$40.16","$64.70",8
"285","27-3042","Technical Writers",10,28.64,"Bachelor's degree","$23.16","$35.28",8
"286","27-4012","Broadcast Technicians",10,12.68,"Associate's degree","$9.24","$20.62",8
"287","39-1021","Supervisors of Personal Service Workers",10,14.82,"High school diploma or equivalent","$11.88","$18.34",8
"288","43-2021","Telephone Operators",10,15.36,"High school diploma or equivalent","$11.89","$21.47",8
"289","43-4071","File Clerks",10,12.17,"High school diploma or equivalent","$10.06","$15.03",8
"290","49-3011","Aircraft Mechanics & Service Technicians",10,49.04,"Postsecondary nondegree award","$28.59","$56.27",8
"291","49-9062","Medical Equipment Repairers",10,17.39,"Associate's degree","$13.55","$24.44",8
"292","53-2012","Commercial Pilots",10,35.8,"High school diploma or equivalent","$22.00","$43.04",8
"293","19-3022","Survey Researchers",9,26.81,"Master's degree","$18.94","$38.41",7.2
"294","19-4092","Forensic Science Technicians",9,26.51,"Bachelor's degree","$20.87","$31.34",7.2
"295","29-1081","Podiatrists",9,49.83,"Doctoral or professional degree","$36.93","$80.42",7.2
"296","29-2035","Magnetic Resonance Imaging Technologists",9,29.98,"Associate's degree","$26.09","$34.72",7.2
"297","47-1011","Supervisors of Construction Trades & Extraction Workers",9,25.8,"High school diploma or equivalent","$20.73","$31.91",7.2
"298","49-2011","Computer, Automated Teller, & Office Machine Repairers",9,14.85,"Some college, no degree","$11.68","$18.63",7.2
"299","51-4011","Computer-Controlled Machine Tool Operators, Metal & Plastic",9,16.95,"High school diploma or equivalent","$13.91","$20.47",7.2
"300","53-7021","Crane & Tower Operators",9,24.21,"High school diploma or equivalent","$16.25","$30.27",7.2
"301","53-7199","Material Moving Workers, All Other",9,19.83,"No formal educational credential","$13.32","$24.22",7.2
"302","13-2053","Insurance Underwriters",8,26.7,"Bachelor's degree","$20.71","$34.54",6.4
"303","17-2081","Environmental Engineers",8,33.56,"Bachelor's degree","$27.56","$40.05",6.4
"304","19-4031","Chemical Technicians",8,19.84,"Associate's degree","$14.30","$29.87",6.4
"305","19-4041","Geological & Petroleum Technicians",8,25.51,"Associate's degree","$18.63","$35.06",6.4
"306","21-1023","Mental Health & Substance Abuse Social Workers",8,18.67,"Bachelor's degree","$15.62","$22.81",6.4
"307","25-1071",NA,8,NA,NA,NA,NA,6.4
"308","25-1072",NA,8,NA,NA,NA,NA,6.4
"309","25-1123",NA,8,NA,NA,NA,NA,6.4
"310","27-4011","Audio & Video Equipment Technicians",8,20.67,"Postsecondary nondegree award","$16.22","$23.75",6.4
"311","33-3021","Detectives & Criminal Investigators",8,25.17,"High school diploma or equivalent","$20.49","$48.69",6.4
"312","33-3051","Police & Sheriff's Patrol Officers",8,22.53,"High school diploma or equivalent","$18.66","$26.51",6.4
"313","43-5011","Cargo & Freight Agents",8,23.52,"High school diploma or equivalent","$16.30","$29.32",6.4
"314","47-2141","Painters, Construction & Maintenance",8,15.91,"No formal educational credential","$14.01","$17.93",6.4
"315","49-2094","Electrical & Electronics Repairers, Commercial & Industrial Equipment",8,24.8,"Postsecondary nondegree award","$18.97","$28.95",6.4
"316","51-4111","Tool & Die Makers",8,25.13,"High school diploma or equivalent","$20.87","$30.55",6.4
"317","51-6031","Sewing Machine Operators",8,12.65,"No formal educational credential","$10.48","$15.47",6.4
"318","51-9032","Cutting & Slicing Machine Setters, Operators, & Tenders",8,16.69,"High school diploma or equivalent","$13.36","$19.40",6.4
"319","11-9161","Emergency Management Directors",7,18.38,"Bachelor's degree","$14.13","$24.84",5.6
"320","17-2131","Materials Engineers",7,39.71,"Bachelor's degree","$30.73","$49.68",5.6
"321","21-1011","Substance Abuse & Behavioral Disorder Counselors",7,14.5,"Bachelor's degree","$12.50","$18.39",5.6
"322","21-1021","Child, Family, & School Social Workers",7,17.1,"Bachelor's degree","$14.46","$20.80",5.6
"323","27-1022","Fashion Designers",7,26.66,"Bachelor's degree","$20.28","$33.13",5.6
"324","29-1131","Veterinarians",7,37.61,"Doctoral or professional degree","$31.01","$45.92",5.6
"325","29-1199","Health Diagnosing & Treating Practitioners, All Other",7,31.21,"Master's degree","$25.88","$39.01",5.6
"326","31-9096","Veterinary Assistants & Laboratory Animal Caretakers",7,10.7,"High school diploma or equivalent","$9.14","$12.65",5.6
"327","39-6012","Concierges",7,10.82,"High school diploma or equivalent","$9.34","$12.94",5.6
"328","43-9011","Computer Operators",7,19.47,"High school diploma or equivalent","$16.16","$24.38",5.6
