"","SOC","Occupation","Job Postings","Median Hourly Earnings","Typical Entry Level Education","Pct. 25 Hourly Earnings","Pct. 75 Hourly Earnings","deduplicated"
"683","45-2021","Animal Breeders",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"684","45-2091","Agricultural Equipment Operators",NA,13.47,"No formal educational credential","$10.94","$17.26",NA
"685","45-2099","Agricultural Workers, All Other",NA,15.38,"No formal educational credential","$12.40","$18.07",NA
"686","45-3011","Fishers & Related Fishing Workers",NA,14.78,"No formal educational credential","$13.61","$16.81",NA
"687","45-3021","Hunters & Trappers",NA,0,"No formal educational credential","Insf. Data","Insf. Data",NA
"688","45-4021","Fallers",NA,18.53,"High school diploma or equivalent","$13.91","$24.76",NA
"689","45-4022","Logging Equipment Operators",NA,17.15,"High school diploma or equivalent","$14.04","$19.47",NA
"690","47-2021","Brickmasons & Blockmasons",NA,18.73,"High school diploma or equivalent","$15.82","$22.47",NA
"691","47-2022","Stonemasons",NA,15.91,"High school diploma or equivalent","$13.50","$18.26",NA
"692","47-2041","Carpet Installers",NA,14.14,"No formal educational credential","$11.72","$16.63",NA
"693","47-2043","Floor Sanders & Finishers",NA,15.25,"No formal educational credential","$12.88","$17.77",NA
"694","47-2053","Terrazzo Workers & Finishers",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"695","47-2072","Pile-Driver Operators",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"696","47-2082","Tapers",NA,23.74,"No formal educational credential","$20.25","$25.84",NA
"697","47-2132","Insulation Workers, Mechanical",NA,34.22,"High school diploma or equivalent","$25.43","$40.89",NA
"698","47-2142","Paperhangers",NA,14.2,"No formal educational credential","$12.53","$16.20",NA
"699","47-2151","Pipelayers",NA,15.88,"No formal educational credential","$12.53","$20.42",NA
"700","47-2161","Plasterers & Stucco Masons",NA,16.99,"No formal educational credential","$15.58","$18.56",NA
"701","47-2171","Reinforcing Iron & Rebar Workers",NA,23.27,"High school diploma or equivalent","$18.03","$28.48",NA
"702","47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, & Tile & Marble Setters",NA,12.73,"No formal educational credential","$10.82","$15.20",NA
"703","47-3012","Helpers--Carpenters",NA,15.95,"No formal educational credential","$13.95","$17.88",NA
"704","47-3013","Helpers--Electricians",NA,12.54,"High school diploma or equivalent","$10.97","$14.31",NA
"705","47-3014","Helpers--Painters, Paperhangers, Plasterers, & Stucco Masons",NA,11.6,"No formal educational credential","$10.28","$12.64",NA
"706","47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, & Steamfitters",NA,12.43,"High school diploma or equivalent","$10.44","$14.98",NA
"707","47-3016","Helpers--Roofers",NA,12.96,"No formal educational credential","$10.82","$15.42",NA
"708","47-3019","Helpers, Construction Trades, All Other",NA,18.53,"No formal educational credential","$15.36","$21.64",NA
"709","47-4021","Elevator Installers & Repairers",NA,30.41,"High school diploma or equivalent","$26.32","$35.56",NA
"710","47-4071","Septic Tank Servicers & Sewer Pipe Cleaners",NA,13.19,"No formal educational credential","$11.28","$15.65",NA
"711","47-4091","Segmental Pavers",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"712","47-5011","Derrick Operators, Oil & Gas",NA,0,"No formal educational credential","Insf. Data","Insf. Data",NA
"713","47-5012","Rotary Drill Operators, Oil & Gas",NA,0,"No formal educational credential","Insf. Data","Insf. Data",NA
"714","47-5013","Service Unit Operators, Oil, Gas, & Mining",NA,19.48,"No formal educational credential","$19.48","$19.48",NA
"715","47-5021","Earth Drillers, Except Oil & Gas",NA,21.66,"High school diploma or equivalent","$18.73","$25.40",NA
"716","47-5031","Explosives Workers, Ordnance Handling Experts, & Blasters",NA,20.13,"High school diploma or equivalent","$18.10","$23.64",NA
"717","47-5041","Continuous Mining Machine Operators",NA,22.12,"No formal educational credential","$19.71","$25.54",NA
"718","47-5042","Mine Cutting & Channeling Machine Operators",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"719","47-5049","Mining Machine Operators, All Other",NA,21.21,"High school diploma or equivalent","$18.49","$24.09",NA
"720","47-5051","Rock Splitters, Quarry",NA,17.92,"No formal educational credential","$15.04","$20.84",NA
"721","47-5061","Roof Bolters, Mining",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"722","47-5081","Helpers--Extraction Workers",NA,18.76,"High school diploma or equivalent","$14.68","$21.74",NA
"723","47-5099","Extraction Workers, All Other",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"724","49-2021","Radio, Cellular, & Tower Equipment Installers & Repairs",NA,30.42,"Associate's degree","$19.18","$35.30",NA
"725","49-3022","Automotive Glass Installers & Repairers",NA,15.43,"High school diploma or equivalent","$12.49","$17.32",NA
"726","49-3043","Rail Car Repairers",NA,24.24,"High school diploma or equivalent","$20.56","$27.16",NA
"727","49-3051","Motorboat Mechanics & Service Technicians",NA,15.31,"High school diploma or equivalent","$12.77","$18.50",NA
"728","49-3052","Motorcycle Mechanics",NA,14.97,"Postsecondary nondegree award","$11.74","$18.22",NA
"729","49-3092","Recreational Vehicle Service Technicians",NA,16.09,"High school diploma or equivalent","$13.90","$17.87",NA
"730","49-9011","Mechanical Door Repairers",NA,18.99,"High school diploma or equivalent","$15.58","$22.42",NA
"731","49-9043","Maintenance Workers, Machinery",NA,21.56,"High school diploma or equivalent","$17.29","$25.74",NA
"732","49-9045","Refractory Materials Repairers, Except Brickmasons",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"733","49-9061","Camera & Photographic Equipment Repairers",NA,21.3,"Associate's degree","$15.50","$27.58",NA
"734","49-9063","Musical Instrument Repairers & Tuners",NA,19.05,"High school diploma or equivalent","$14.62","$23.57",NA
"735","49-9069","Precision Instrument & Equipment Repairers, All Other",NA,26.97,"High school diploma or equivalent","$21.81","$31.16",NA
"736","49-9092","Commercial Divers",NA,22.48,"Postsecondary nondegree award","$18.85","$27.12",NA
"737","49-9093","Fabric Menders, Except Garment",NA,0,"No formal educational credential","Insf. Data","Insf. Data",NA
"738","49-9094","Locksmiths & Safe Repairers",NA,14.41,"High school diploma or equivalent","$12.52","$16.75",NA
"739","49-9095","Manufactured Building & Mobile Home Installers",NA,15.08,"High school diploma or equivalent","$12.32","$18.58",NA
"740","51-2021","Coil Winders, Tapers, & Finishers",NA,13.37,"High school diploma or equivalent","$10.84","$16.23",NA
"741","51-2023","Electromechanical Equipment Assemblers",NA,17.58,"High school diploma or equivalent","$14.82","$20.72",NA
"742","51-2031","Engine & Other Machine Assemblers",NA,14.16,"High school diploma or equivalent","$12.00","$18.93",NA
"743","51-2091","Fiberglass Laminators & Fabricators",NA,15.27,"High school diploma or equivalent","$12.28","$18.96",NA
