,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
187,23-2011,Paralegals and Legal Assistants,$18.63 ,$27.46 ,Associate's degree,51,237,54,291,Paralegals and Legal Assistants,54,,,,,,
188,23-2091,Court Reporters,$18.67 ,$24.31 ,Postsecondary nondegree award,-6,11,<10,11,NA,NA,,,,,,
189,23-2093,"Title Examiners, Abstractors, and Searchers",$16.98 ,$20.64 ,High school diploma or equivalent,-6,20,<10,20,"Title Examiners, Abstractors, and Searchers",5,,,,,,
190,23-2099,"Legal Support Workers, All Other",$23.16 ,$29.42 ,High school diploma or equivalent,1,18,<10,18,"Legal Support Workers, All Other",1,,,,,,
191,25-1099,Postsecondary Teachers,$22.58 ,$38.43 ,Doctoral or professional degree,262,872,407,"1,279",NA,NA,,,,,,
192,25-2011,"Preschool Teachers, Except Special Education",$13.29 ,$25.64 ,Associate's degree,101,146,40,186,"Preschool Teachers, Except Special Education",64,,,,,,
193,25-2012,"Kindergarten Teachers, Except Special Education",$23.96 ,$33.31 ,Bachelor's degree,14,73,18,91,"Kindergarten Teachers, Except Special Education",4,,,,,,
194,25-2021,"Elementary School Teachers, Except Special Education",$23.40 ,$33.40 ,Bachelor's degree,123,914,186,"1,100","Elementary School Teachers, Except Special Education",3,,,,,,
195,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",$23.31 ,$33.07 ,Bachelor's degree,57,434,88,522,"Middle School Teachers, Except Special and Career/Technical Education",33,,,,,,
196,25-2023,"Career/Technical Education Teachers, Middle School",Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
197,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",$23.19 ,$33.68 ,Bachelor's degree,92,745,140,885,"Secondary School Teachers, Except Special and Career/Technical Education",22,,,,,,
198,25-2032,"Career/Technical Education Teachers, Secondary School",$24.13 ,$31.33 ,Bachelor's degree,4,<10,<10,0,NA,NA,,,,,,
199,25-2051,"Special Education Teachers, Preschool",$21.04 ,$31.26 ,Bachelor's degree,4,<10,<10,0,"Special Education Teachers, Preschool",2,,,,,,
200,25-2052,"Special Education Teachers, Kindergarten and Elementary School",$23.46 ,$33.34 ,Bachelor's degree,30,162,29,190,"Special Education Teachers, Kindergarten and Elementary School",2,,,,,,
201,25-2053,"Special Education Teachers, Middle School",$22.18 ,$31.17 ,Bachelor's degree,14,91,16,107,"Special Education Teachers, Middle School",6,,,,,,
202,25-2054,"Special Education Teachers, Secondary School",$23.89 ,$33.31 ,Bachelor's degree,15,95,16,111,"Special Education Teachers, Secondary School",74,,,,,,
203,25-2059,"Special Education Teachers, All Other",$19.36 ,$30.28 ,Bachelor's degree,5,40,<10,40,"Special Education Teachers, All Other",13,,,,,,
204,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,$17.21 ,$23.57 ,Bachelor's degree,4,20,<10,20,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1,,,,,,
205,25-3021,Self-Enrichment Education Teachers,$13.00 ,$18.93 ,High school diploma or equivalent,60,230,126,357,Self-Enrichment Education Teachers,14,,,,,,
206,25-3098,Substitute Teachers,$10.10 ,$12.80 ,Bachelor's degree,63,166,79,245,NA,NA,,,,,,
207,25-3099,"Teachers and Instructors, All Other",$16.09 ,$25.86 ,Bachelor's degree,8,201,102,303,"Teachers And Instructors, All Other, Except Substitute Teachers",51,,,,,,
208,25-4011,Archivists,$21.01 ,$27.08 ,Master's degree,1,<10,<10,0,NA,NA,,,,,,
209,25-4012,Curators,$16.62 ,$27.57 ,Master's degree,0,<10,<10,0,Curators,1,,,,,,
210,25-4013,Museum Technicians and Conservators,Insf. Data,Insf. Data,Bachelor's degree,0,<10,<10,0,Museum Technicians and Conservators,1,,,,,,
211,25-4021,Librarians,$22.93 ,$34.87 ,Master's degree,5,154,40,194,Librarians,4,,,,,,
212,25-4031,Library Technicians,$11.94 ,$17.53 ,Postsecondary nondegree award,7,65,34,99,Library Technicians,2,,,,,,
213,25-9011,Audio-Visual and Multimedia Collections Specialists,Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
214,25-9021,Farm and Home Management Advisors,$21.64 ,$31.63 ,Master's degree,4,11,<10,11,Farm and Home Management Advisors,3,,,,,,
215,25-9031,Instructional Coordinators,$21.60 ,$36.22 ,Master's degree,13,124,34,158,Instructional Coordinators,12,,,,,,
216,25-9041,Teacher Assistants,$11.73 ,$17.36 ,"Some college, no degree",171,796,246,"1,043",Teacher Assistants,29,,,,,,
217,25-9099,"Education, Training, and Library Workers, All Other",$9.64 ,$18.19 ,Bachelor's degree,31,429,102,531,NA,NA,,,,,,
218,27-1011,Art Directors,$22.41 ,$33.83 ,Bachelor's degree,5,34,12,46,Art Directors,4,,,,,,
219,27-1012,Craft Artists,$5.75 ,$7.50 ,No formal educational credential,10,20,11,31,NA,NA,,,,,,
220,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",$7.15 ,$10.19 ,Bachelor's degree,25,39,20,59,"Fine Artists, Including Painters, Sculptors, and Illustrators",2,,,,,,
221,27-1014,Multimedia Artists and Animators,$13.71 ,$21.95 ,Bachelor's degree,9,22,<10,22,Multimedia Artists and Animators,3,,,,,,
222,27-1019,"Artists and Related Workers, All Other",$13.70 ,$22.19 ,No formal educational credential,0,<10,<10,0,NA,NA,,,,,,
223,27-1021,Commercial and Industrial Designers,$24.25 ,$39.07 ,Bachelor's degree,3,25,<10,25,Commercial and Industrial Designers,5,,,,,,
224,27-1022,Fashion Designers,$20.28 ,$33.13 ,Bachelor's degree,3,<10,<10,0,Fashion Designers,7,,,,,,
225,27-1023,Floral Designers,$11.29 ,$15.02 ,High school diploma or equivalent,-12,42,26,69,NA,NA,,,,,,
226,27-1024,Graphic Designers,$15.84 ,$24.49 ,Bachelor's degree,12,141,37,178,Graphic Designers,26,,,,,,
227,27-1025,Interior Designers,$18.46 ,$29.79 ,Bachelor's degree,0,52,16,68,Interior Designers,12,,,,,,
228,27-1026,Merchandise Displayers and Window Trimmers,$11.31 ,$18.45 ,High school diploma or equivalent,-15,78,20,97,Merchandise Displayers and Window Trimmers,218,,,,,,
229,27-1027,Set and Exhibit Designers,$16.05 ,$26.10 ,Bachelor's degree,1,<10,<10,0,Set and Exhibit Designers,1,,,,,,
230,27-1029,"Designers, All Other",$16.80 ,$27.27 ,Bachelor's degree,0,<10,<10,0,"Designers, All Other",16,,,,,,
231,27-2011,Actors,$10.54 ,$16.02 ,"Some college, no degree",13,<10,<10,0,Actors,1,,,,,,
232,27-2012,Producers and Directors,$17.81 ,$30.63 ,Bachelor's degree,-9,48,<10,48,Producers and Directors,14,,,,,,
233,27-2021,Athletes and Sports Competitors,$16.77 ,$29.38 ,No formal educational credential,0,11,<10,11,Athletes and Sports Competitors,1,,,,,,
234,27-2022,Coaches and Scouts,$9.63 ,$16.87 ,Bachelor's degree,18,81,40,121,Coaches and Scouts,134,,,,,,
235,27-2023,"Umpires, Referees, and Other Sports Officials",$10.79 ,$25.30 ,High school diploma or equivalent,3,11,<10,11,"Umpires, Referees, and Other Sports Officials",3,,,,,,
236,27-2031,Dancers,$11.33 ,$17.75 ,No formal educational credential,1,<10,<10,0,NA,NA,,,,,,
237,27-2032,Choreographers,$14.59 ,$24.81 ,High school diploma or equivalent,0,<10,0,0,NA,NA,,,,,,
238,27-2041,Music Directors and Composers,$10.51 ,$22.91 ,Bachelor's degree,29,74,87,161,Music Directors and Composers,5,,,,,,
239,27-2042,Musicians and Singers,$21.92 ,$37.72 ,No formal educational credential,98,155,150,306,Musicians and Singers,2,,,,,,
240,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",$18.30 ,$26.34 ,No formal educational credential,6,26,11,37,NA,NA,,,,,,
241,27-3011,Radio and Television Announcers,$10.92 ,$17.34 ,Bachelor's degree,-6,12,<10,12,Radio and Television Announcers,5,,,,,,
242,27-3012,Public Address System and Other Announcers,$11.33 ,$17.07 ,High school diploma or equivalent,9,<10,<10,0,NA,NA,,,,,,
243,27-3021,Broadcast News Analysts,$21.79 ,$50.14 ,Bachelor's degree,-2,<10,<10,0,NA,NA,,,,,,
244,27-3022,Reporters and Correspondents,$14.20 ,$28.17 ,Bachelor's degree,4,30,12,42,Reporters and Correspondents,18,,,,,,
245,27-3031,Public Relations Specialists,$18.38 ,$30.98 ,Bachelor's degree,25,114,39,152,Public Relations Specialists,46,,,,,,
246,27-3041,Editors,$17.32 ,$28.06 ,Bachelor's degree,-21,74,26,99,Editors,16,,,,,,
247,27-3042,Technical Writers,$23.16 ,$35.28 ,Bachelor's degree,15,33,<10,33,Technical Writers,10,,,,,,
248,27-3043,Writers and Authors,$14.50 ,$20.90 ,Bachelor's degree,52,96,56,153,Writers and Authors,16,,,,,,
249,27-3091,Interpreters and Translators,$19.21 ,$27.25 ,Bachelor's degree,14,26,14,40,Interpreters and Translators,13,,,,,,
250,27-3099,"Media and Communication Workers, All Other",$14.20 ,$22.84 ,High school diploma or equivalent,4,11,<10,11,NA,NA,,,,,,
251,27-4011,Audio and Video Equipment Technicians,$16.22 ,$23.75 ,Postsecondary nondegree award,6,27,<10,27,Audio and Video Equipment Technicians,8,,,,,,
252,27-4012,Broadcast Technicians,$9.24 ,$20.62 ,Associate's degree,-12,23,<10,23,Broadcast Technicians,10,,,,,,
253,27-4013,Radio Operators,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
254,27-4014,Sound Engineering Technicians,$16.21 ,$28.46 ,Postsecondary nondegree award,-3,<10,<10,0,Sound Engineering Technicians,4,,,,,,
255,27-4021,Photographers,$12.51 ,$18.29 ,High school diploma or equivalent,-18,75,24,99,Photographers,15,,,,,,
256,27-4031,"Camera Operators, Television, Video, and Motion Picture",$13.50 ,$18.41 ,Bachelor's degree,-1,<10,<10,0,"Camera Operators, Television, Video, and Motion Picture",4,,,,,,
257,27-4032,Film and Video Editors,$17.47 ,$28.50 ,Bachelor's degree,1,<10,<10,0,Film and Video Editors,1,,,,,,
258,27-4099,"Media and Communication Equipment Workers, All Other",$18.17 ,$32.43 ,High school diploma or equivalent,-1,<10,<10,0,NA,NA,,,,,,
259,29-1011,Chiropractors,$21.26 ,$29.56 ,Doctoral or professional degree,21,27,<10,27,NA,NA,,,,,,
260,29-1021,"Dentists, General",$59.60 ,$85.51 ,Doctoral or professional degree,71,157,82,239,"Dentists, General",14,,,,,,
261,29-1022,Oral and Maxillofacial Surgeons,$90.79 ,$113.84 ,Doctoral or professional degree,3,<10,<10,0,Oral and Maxillofacial Surgeons,1,,,,,,
262,29-1023,Orthodontists,$66.52 ,$106.98 ,Doctoral or professional degree,4,13,<10,13,Orthodontists,1,,,,,,
263,29-1024,Prosthodontists,Insf. Data,Insf. Data,Doctoral or professional degree,Insf. Data,<10,<10,0,Prosthodontists,2,,,,,,
264,29-1029,"Dentists, All Other Specialists",$64.60 ,$87.88 ,Doctoral or professional degree,2,<10,<10,0,"Dentists, All Other Specialists",2,,,,,,
265,29-1031,Dietitians and Nutritionists,$23.13 ,$30.36 ,Bachelor's degree,28,69,17,86,Dietitians and Nutritionists,30,,,,,,
266,29-1041,Optometrists,$43.75 ,$61.32 ,Doctoral or professional degree,47,31,14,46,Optometrists,4,,,,,,
267,29-1051,Pharmacists,$54.29 ,$68.29 ,Doctoral or professional degree,72,227,85,312,Pharmacists,101,,,,,,
268,29-1061,Anesthesiologists,$95.24 ,$136.58 ,Doctoral or professional degree,24,79,38,117,Anesthesiologists,22,,,,,,
269,29-1062,Family and General Practitioners,$71.59 ,$97.79 ,Doctoral or professional degree,25,91,48,139,Family and General Practitioners,45,,,,,,
270,29-1063,"Internists, General",$80.92 ,$115.40 ,Doctoral or professional degree,8,41,21,63,"Internists, General",97,,,,,,
271,29-1064,Obstetricians and Gynecologists,$90.63 ,$130.59 ,Doctoral or professional degree,8,24,12,35,Obstetricians and Gynecologists,27,,,,,,
272,29-1065,"Pediatricians, General",$57.90 ,$87.39 ,Doctoral or professional degree,6,34,17,51,NA,NA,,,,,,
273,29-1066,Psychiatrists,$83.44 ,$110.86 ,Doctoral or professional degree,2,12,<10,12,Psychiatrists,25,,,,,,
274,29-1067,Surgeons,$101.00 ,$138.54 ,Doctoral or professional degree,22,70,34,104,Surgeons,14,,,,,,
275,29-1069,"Physicians and Surgeons, All Other",$33.17 ,$85.64 ,Doctoral or professional degree,104,333,156,489,"Physicians and Surgeons, All Other",268,,,,,,
276,29-1071,Physician Assistants,$42.74 ,$52.98 ,Master's degree,64,46,<10,46,Physician Assistants,56,,,,,,
277,29-1081,Podiatrists,$36.93 ,$80.42 ,Doctoral or professional degree,5,<10,<10,0,Podiatrists,9,,,,,,
278,29-1122,Occupational Therapists,$33.03 ,$45.60 ,Master's degree,92,68,10,78,Occupational Therapists,26,,,,,,
279,29-1123,Physical Therapists,$33.03 ,$45.46 ,Doctoral or professional degree,220,115,19,135,Physical Therapists,164,,,,,,
280,29-1124,Radiation Therapists,$34.60 ,$48.56 ,Associate's degree,5,<10,<10,0,Radiation Therapists,6,,,,,,
281,29-1125,Recreational Therapists,$16.35 ,$24.00 ,Bachelor's degree,4,<10,<10,0,Recreational Therapists,12,,,,,,
282,29-1126,Respiratory Therapists,$21.41 ,$28.55 ,Associate's degree,40,154,14,168,Respiratory Therapists,52,,,,,,
283,29-1127,Speech-Language Pathologists,$31.31 ,$48.26 ,Master's degree,95,101,19,121,Speech-Language Pathologists,81,,,,,,
284,29-1128,Exercise Physiologists,$19.66 ,$25.54 ,Bachelor's degree,5,<10,<10,0,Exercise Physiologists,4,,,,,,
285,29-1129,"Therapists, All Other",$23.94 ,$43.84 ,Bachelor's degree,20,25,11,35,"Therapists, All Other",1,,,,,,
286,29-1131,Veterinarians,$31.01 ,$45.92 ,Doctoral or professional degree,6,45,20,65,Veterinarians,7,,,,,,
287,29-1141,Registered Nurses,$25.12 ,$35.06 ,Bachelor's degree,1055,"3,110",495,"3,605",Registered Nurses,"1,511",,,,,,
288,29-1151,Nurse Anesthetists,$68.48 ,$98.90 ,Master's degree,30,100,22,122,Nurse Anesthetists,13,,,,,,
289,29-1161,Nurse Midwives,$40.43 ,$52.76 ,Master's degree,5,11,<10,11,NA,NA,,,,,,
290,29-1171,Nurse Practitioners,$39.50 ,$49.53 ,Master's degree,134,211,30,241,Nurse Practitioners,115,,,,,,
291,29-1181,Audiologists,$26.65 ,$33.10 ,Doctoral or professional degree,11,11,<10,11,Audiologists,4,,,,,,
292,29-1199,"Health Diagnosing and Treating Practitioners, All Other",$25.88 ,$39.01 ,Master's degree,29,25,<10,25,"Health Diagnosing and Treating Practitioners, All Other",7,,,,,,
293,29-2011,Medical and Clinical Laboratory Technologists,$25.10 ,$34.68 ,Bachelor's degree,37,126,20,145,Medical and Clinical Laboratory Technologists,45,,,,,,
294,29-2012,Medical and Clinical Laboratory Technicians,$15.56 ,$23.59 ,Associate's degree,46,140,23,162,Medical and Clinical Laboratory Technicians,100,,,,,,
295,29-2021,Dental Hygienists,$27.56 ,$35.11 ,Associate's degree,98,129,16,145,Dental Hygienists,14,,,,,,
296,29-2031,Cardiovascular Technologists and Technicians,$16.89 ,$34.02 ,Associate's degree,26,41,<10,41,Cardiovascular Technologists and Technicians,27,,,,,,
297,29-2032,Diagnostic Medical Sonographers,$25.36 ,$34.68 ,Associate's degree,34,46,<10,46,Diagnostic Medical Sonographers,43,,,,,,
298,29-2033,Nuclear Medicine Technologists,$26.35 ,$34.96 ,Associate's degree,0,17,<10,17,NA,NA,,,,,,
299,29-2034,Radiologic Technologists,$20.38 ,$29.16 ,Associate's degree,47,220,29,249,Radiologic Technologists,39,,,,,,
300,29-2035,Magnetic Resonance Imaging Technologists,$26.09 ,$34.72 ,Associate's degree,6,18,<10,18,Magnetic Resonance Imaging Technologists,9,,,,,,
301,29-2041,Emergency Medical Technicians and Paramedics,$11.65 ,$18.68 ,Postsecondary nondegree award,73,110,17,127,Emergency Medical Technicians and Paramedics,38,,,,,,
302,29-2051,Dietetic Technicians,$11.09 ,$14.78 ,Associate's degree,6,12,<10,12,Dietetic Technicians,6,,,,,,
303,29-2052,Pharmacy Technicians,$11.88 ,$17.34 ,High school diploma or equivalent,150,212,39,251,Pharmacy Technicians,138,,,,,,
304,29-2053,Psychiatric Technicians,$11.79 ,$17.64 ,Postsecondary nondegree award,0,18,<10,18,Psychiatric Technicians,52,,,,,,
305,29-2054,Respiratory Therapy Technicians,$19.58 ,$28.28 ,Associate's degree,-3,<10,<10,0,NA,NA,,,,,,
306,29-2055,Surgical Technologists,$17.78 ,$24.05 ,Postsecondary nondegree award,40,57,<10,57,Surgical Technologists,57,,,,,,
307,29-2056,Veterinary Technologists and Technicians,$10.56 ,$15.06 ,Associate's degree,47,48,11,59,Veterinary Technologists and Technicians,2,,,,,,
308,29-2057,Ophthalmic Medical Technicians,$16.89 ,$22.61 ,Postsecondary nondegree award,27,11,<10,11,Ophthalmic Medical Technicians,5,,,,,,
309,29-2061,Licensed Practical and Licensed Vocational Nurses,$17.34 ,$22.66 ,Postsecondary nondegree award,189,687,153,840,Licensed Practical and Licensed Vocational Nurses,291,,,,,,
310,29-2071,Medical Records and Health Information Technicians,$13.32 ,$21.04 ,Postsecondary nondegree award,79,286,68,354,Medical Records and Health Information Technicians,191,,,,,,
311,29-2081,"Opticians, Dispensing",$12.19 ,$18.69 ,High school diploma or equivalent,51,26,<10,26,"Opticians, Dispensing",1,,,,,,
312,29-2091,Orthotists and Prosthetists,$20.99 ,$33.73 ,Master's degree,4,<10,<10,0,NA,NA,,,,,,
313,29-2092,Hearing Aid Specialists,$19.56 ,$34.09 ,High school diploma or equivalent,5,<10,<10,0,Hearing Aid Specialists,6,,,,,,
314,29-2099,"Health Technologists and Technicians, All Other",$17.88 ,$29.29 ,High school diploma or equivalent,84,99,21,119,"Health Technologists and Technicians, All Other",145,,,,,,
315,29-9011,Occupational Health and Safety Specialists,$23.70 ,$42.68 ,Bachelor's degree,-3,84,14,98,Occupational Health and Safety Specialists,14,,,,,,
316,29-9012,Occupational Health and Safety Technicians,$15.51 ,$25.59 ,High school diploma or equivalent,2,15,<10,15,Occupational Health and Safety Technicians,3,,,,,,
317,29-9091,Athletic Trainers,$17.19 ,$25.24 ,Bachelor's degree,14,12,<10,12,Athletic Trainers,13,,,,,,
318,29-9092,Genetic Counselors,Insf. Data,Insf. Data,Master's degree,Insf. Data,<10,0,0,NA,NA,,,,,,
319,29-9099,"Healthcare Practitioners and Technical Workers, All Other",$14.96 ,$23.37 ,Postsecondary nondegree award,16,27,<10,27,"Healthcare Practitioners and Technical Workers, All Other",2,,,,,,
320,31-1011,Home Health Aides,$9.07 ,$11.62 ,No formal educational credential,425,283,85,367,Home Health Aides,46,,,,,,
321,31-1013,Psychiatric Aides,$10.60 ,$14.32 ,High school diploma or equivalent,-20,36,12,48,NA,NA,,,,,,
322,31-1014,Nursing Assistants,$10.70 ,$14.22 ,Postsecondary nondegree award,462,"1,036",292,"1,328",Nursing Assistants,415,,,,,,
323,31-1015,Orderlies,$9.83 ,$12.51 ,High school diploma or equivalent,11,17,<10,17,Orderlies,18,,,,,,
324,31-2011,Occupational Therapy Assistants,$22.72 ,$32.46 ,Associate's degree,53,26,<10,26,Occupational Therapy Assistants,15,,,,,,
325,31-2012,Occupational Therapy Aides,$10.81 ,$16.59 ,High school diploma or equivalent,8,<10,<10,0,Occupational Therapy Aides,11,,,,,,
326,31-2021,Physical Therapist Assistants,$22.62 ,$32.09 ,Associate's degree,108,45,<10,45,Physical Therapist Assistants,33,,,,,,
327,31-2022,Physical Therapist Aides,$10.33 ,$17.01 ,High school diploma or equivalent,62,16,<10,16,Physical Therapist Aides,5,,,,,,
328,31-9011,Massage Therapists,$14.19 ,$20.77 ,Postsecondary nondegree award,-12,53,<10,53,Massage Therapists,6,,,,,,
329,31-9091,Dental Assistants,$14.85 ,$21.25 ,Postsecondary nondegree award,162,169,20,189,Dental Assistants,20,,,,,,
330,31-9092,Medical Assistants,$12.31 ,$16.68 ,Postsecondary nondegree award,323,243,43,286,Medical Assistants,179,,,,,,
331,31-9093,Medical Equipment Preparers,$12.88 ,$16.89 ,High school diploma or equivalent,18,53,10,63,Medical Equipment Preparers,39,,,,,,
332,31-9094,Medical Transcriptionists,$15.50 ,$21.26 ,Postsecondary nondegree award,-9,47,11,58,Medical Transcriptionists,33,,,,,,
333,31-9095,Pharmacy Aides,$9.09 ,$11.23 ,High school diploma or equivalent,8,<10,<10,0,Pharmacy Aides,24,,,,,,
334,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,$9.14 ,$12.65 ,High school diploma or equivalent,19,25,<10,25,Veterinary Assistants and Laboratory Animal Caretakers,7,,,,,,
335,31-9097,Phlebotomists,$12.44 ,$17.83 ,Postsecondary nondegree award,19,76,12,87,Phlebotomists,39,,,,,,
336,31-9099,"Healthcare Support Workers, All Other",$11.57 ,$18.46 ,High school diploma or equivalent,26,59,13,72,"Healthcare Support Workers, All Other",12,,,,,,
337,33-1011,First-Line Supervisors of Correctional Officers,$14.68 ,$23.46 ,High school diploma or equivalent,6,61,11,72,First-Line Supervisors of Correctional Officers,2,,,,,,
338,33-1012,First-Line Supervisors of Police and Detectives,$26.76 ,$39.07 ,High school diploma or equivalent,10,57,13,70,First-Line Supervisors of Police and Detectives,2,,,,,,
339,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,$17.03 ,$30.92 ,Postsecondary nondegree award,6,38,<10,38,First-Line Supervisors of Fire Fighting and Prevention Workers,2,,,,,,
340,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",$13.39 ,$23.15 ,High school diploma or equivalent,-1,49,15,65,"First-Line Supervisors of Protective Service Workers, All Other",12,,,,,,
341,33-2011,Firefighters,$14.62 ,$21.92 ,Postsecondary nondegree award,17,45,<10,45,Firefighters,1,,,,,,
342,33-2021,Fire Inspectors and Investigators,$22.74 ,$31.63 ,Postsecondary nondegree award,1,<10,<10,0,Fire Inspectors and Investigators,2,,,,,,
343,33-2022,Forest Fire Inspectors and Prevention Specialists,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
344,33-3011,Bailiffs,$9.85 ,$13.42 ,High school diploma or equivalent,0,<10,<10,0,NA,NA,,,,,,
345,33-3012,Correctional Officers and Jailers,$12.41 ,$18.94 ,High school diploma or equivalent,28,167,55,221,Correctional Officers and Jailers,5,,,,,,
346,33-3021,Detectives and Criminal Investigators,$20.49 ,$48.69 ,High school diploma or equivalent,-1,23,<10,23,Detectives and Criminal Investigators,8,,,,,,
347,33-3031,Fish and Game Wardens,Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
348,33-3041,Parking Enforcement Workers,$13.42 ,$20.37 ,High school diploma or equivalent,-2,<10,<10,0,NA,NA,,,,,,
349,33-3051,Police and Sheriff's Patrol Officers,$18.66 ,$26.51 ,High school diploma or equivalent,52,153,51,204,Police and Sheriff's Patrol Officers,8,,,,,,
350,33-3052,Transit and Railroad Police,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
351,33-9011,Animal Control Workers,$11.56 ,$16.34 ,High school diploma or equivalent,2,12,<10,12,NA,NA,,,,,,
352,33-9021,Private Detectives and Investigators,$17.94 ,$25.89 ,High school diploma or equivalent,7,39,14,53,Private Detectives and Investigators,18,,,,,,
353,33-9031,Gaming Surveillance Officers and Gaming Investigators,$14.18 ,$21.48 ,High school diploma or equivalent,-3,<10,<10,0,NA,NA,,,,,,
354,33-9032,Security Guards,$9.41 ,$13.90 ,High school diploma or equivalent,-103,938,555,"1,493",Security Guards,317,,,,,,
355,33-9091,Crossing Guards,$11.47 ,$15.71 ,No formal educational credential,5,26,53,79,NA,NA,,,,,,
356,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",$8.63 ,$9.96 ,No formal educational credential,29,33,33,66,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",21,,,,,,
357,33-9093,Transportation Security Screeners,$17.90 ,$20.21 ,High school diploma or equivalent,-3,22,<10,22,Transportation Security Screeners,6,,,,,,
358,33-9099,"Protective Service Workers, All Other",$12.88 ,$23.78 ,High school diploma or equivalent,14,37,39,75,"Protective Service Workers, All Other",81,,,,,,
359,35-1011,Chefs and Head Cooks,$14.48 ,$21.50 ,High school diploma or equivalent,32,40,<10,40,Chefs and Head Cooks,26,,,,,,
360,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,$10.72 ,$17.57 ,High school diploma or equivalent,223,395,129,524,First-Line Supervisors of Food Preparation and Serving Workers,386,,,,,,
361,35-2011,"Cooks, Fast Food",$8.65 ,$10.06 ,No formal educational credential,-54,98,39,137,NA,NA,,,,,,
362,35-2012,"Cooks, Institution and Cafeteria",$10.70 ,$14.56 ,No formal educational credential,3,402,153,555,"Cooks, Institution and Cafeteria",5,,,,,,
363,35-2013,"Cooks, Private Household",Insf. Data,Insf. Data,Postsecondary nondegree award,Insf. Data,<10,<10,0,NA,NA,,,,,,
364,35-2014,"Cooks, Restaurant",$8.92 ,$12.43 ,No formal educational credential,473,442,177,619,"Cooks, Restaurant",200,,,,,,
365,35-2015,"Cooks, Short Order",$8.98 ,$11.39 ,No formal educational credential,-26,75,27,102,"Cooks, Short Order",27,,,,,,
366,35-2019,"Cooks, All Other",$10.81 ,$16.17 ,No formal educational credential,-19,34,11,45,NA,NA,,,,,,
367,35-2021,Food Preparation Workers,$8.87 ,$11.63 ,No formal educational credential,123,271,126,397,Food Preparation Workers,57,,,,,,
368,35-3011,Bartenders,$8.69 ,$10.22 ,No formal educational credential,81,149,74,223,Bartenders,24,,,,,,
369,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",$8.61 ,$9.81 ,No formal educational credential,870,"1,184",637,"1,822","Combined Food Preparation and Serving Workers, Including Fast Food",319,,,,,,
370,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",$8.76 ,$10.66 ,No formal educational credential,55,35,21,55,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",24,,,,,,
371,35-3031,Waiters and Waitresses,$8.67 ,$10.19 ,No formal educational credential,281,465,206,670,Waiters and Waitresses,117,,,,,,
372,35-3041,"Food Servers, Nonrestaurant",$8.83 ,$11.53 ,No formal educational credential,35,81,37,118,"Food Servers, Nonrestaurant",25,,,,,,
373,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,$8.79 ,$11.09 ,No formal educational credential,53,121,73,193,Dining Room and Cafeteria Attendants and Bartender Helpers,42,,,,,,
374,35-9021,Dishwashers,$8.72 ,$10.54 ,No formal educational credential,-8,147,88,235,Dishwashers,66,,,,,,
375,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",$8.64 ,$9.90 ,No formal educational credential,68,78,90,168,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",47,,,,,,
376,35-9099,"Food Preparation and Serving Related Workers, All Other",$8.67 ,$10.39 ,No formal educational credential,7,24,13,37,NA,NA,,,,,,
377,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,$13.95 ,$22.04 ,High school diploma or equivalent,39,227,59,286,First-Line Supervisors of Housekeeping and Janitorial Workers,54,,,,,,
378,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",$14.91 ,$22.02 ,High school diploma or equivalent,-6,99,30,129,NA,NA,,,,,,
