,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
36,13-1021,"Buyers and Purchasing Agents, Farm Products",$21.82 ,$36.55 ,Bachelor's degree,1,<10,<10,0,"Buyers and Purchasing Agents, Farm Products",2,,,,,,
37,13-1022,"Wholesale and Retail Buyers, Except Farm Products",$18.89 ,$33.50 ,Bachelor's degree,10,94,31,125,"Wholesale and Retail Buyers, Except Farm Products",5,,,,,,
38,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",$19.25 ,$31.55 ,Bachelor's degree,18,244,45,288,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",51,,,,,,
39,13-1031,"Claims Adjusters, Examiners, and Investigators",$20.05 ,$33.67 ,High school diploma or equivalent,209,374,66,440,"Claims Adjusters, Examiners, and Investigators",32,,,,,,
40,13-1032,"Insurance Appraisers, Auto Damage",$19.70 ,$27.78 ,Postsecondary nondegree award,-9,13,<10,13,"Insurance Appraisers, Auto Damage",2,,,,,,
41,13-1041,Compliance Officers,$20.53 ,$34.59 ,Bachelor's degree,49,176,39,214,Compliance Officers,29,,,,,,
42,13-1051,Cost Estimators,$22.14 ,$36.78 ,Bachelor's degree,-1,277,91,368,Cost Estimators,20,,,,,,
43,13-1071,Human Resources Specialists,$18.01 ,$31.72 ,Bachelor's degree,58,300,62,362,Human Resources Specialists,331,,,,,,
44,13-1074,Farm Labor Contractors,Insf. Data,Insf. Data,No formal educational credential,Insf. Data,<10,0,0,NA,NA,,,,,,
45,13-1075,Labor Relations Specialists,$9.57 ,$32.03 ,Bachelor's degree,2,163,44,207,Labor Relations Specialists,1,,,,,,
46,13-1081,Logisticians,$30.21 ,$52.41 ,Bachelor's degree,13,74,10,84,Logisticians,51,,,,,,
47,13-1111,Management Analysts,$25.65 ,$43.27 ,Bachelor's degree,342,433,210,643,Management Analysts,203,,,,,,
48,13-1121,"Meeting, Convention, and Event Planners",$14.99 ,$23.67 ,Bachelor's degree,17,47,13,60,"Meeting, Convention, and Event Planners",35,,,,,,
49,13-1131,Fundraisers,$16.57 ,$29.04 ,Bachelor's degree,9,57,28,85,Fundraisers,4,,,,,,
50,13-1141,"Compensation, Benefits, and Job Analysis Specialists",$22.28 ,$34.25 ,Bachelor's degree,19,59,11,70,"Compensation, Benefits, and Job Analysis Specialists",50,,,,,,
51,13-1151,Training and Development Specialists,$19.40 ,$33.73 ,Bachelor's degree,59,219,36,255,Training and Development Specialists,44,,,,,,
52,13-1161,Market Research Analysts and Marketing Specialists,$18.71 ,$33.43 ,Bachelor's degree,177,185,49,234,Market Research Analysts and Marketing Specialists,147,,,,,,
53,13-1199,"Business Operations Specialists, All Other",$22.43 ,$38.71 ,Bachelor's degree,230,615,139,754,"Business Operations Specialists, All Other",55,,,,,,
54,13-2011,Accountants and Auditors,$21.93 ,$36.42 ,Bachelor's degree,261,975,286,"1,260",Accountants and Auditors,293,,,,,,
55,13-2021,Appraisers and Assessors of Real Estate,$17.14 ,$33.91 ,Bachelor's degree,-6,73,31,104,Appraisers and Assessors of Real Estate,5,,,,,,
56,13-2031,Budget Analysts,$25.96 ,$39.25 ,Bachelor's degree,9,55,11,66,Budget Analysts,3,,,,,,
57,13-2041,Credit Analysts,$25.40 ,$50.93 ,Bachelor's degree,-8,26,<10,26,Credit Analysts,13,,,,,,
58,13-2051,Financial Analysts,$26.13 ,$45.16 ,Bachelor's degree,47,64,14,78,Financial Analysts,120,,,,,,
59,13-2052,Personal Financial Advisors,$21.02 ,$49.58 ,Bachelor's degree,16,120,44,163,Personal Financial Advisors,48,,,,,,
60,13-2053,Insurance Underwriters,$20.71 ,$34.54 ,Bachelor's degree,19,54,<10,54,Insurance Underwriters,8,,,,,,
61,13-2061,Financial Examiners,$22.79 ,$36.17 ,Bachelor's degree,3,30,<10,30,Financial Examiners,2,,,,,,
62,13-2071,Credit Counselors,$17.11 ,$25.45 ,Bachelor's degree,-4,12,<10,12,Credit Counselors,6,,,,,,
63,13-2072,Loan Officers,$23.40 ,$49.44 ,Bachelor's degree,-112,224,35,258,Loan Officers,51,,,,,,
64,13-2081,"Tax Examiners and Collectors, and Revenue Agents",$19.61 ,$34.02 ,Bachelor's degree,-4,36,11,48,NA,NA,,,,,,
65,13-2082,Tax Preparers,$14.82 ,$28.10 ,High school diploma or equivalent,-4,88,69,157,Tax Preparers,25,,,,,,
66,13-2099,"Financial Specialists, All Other",$21.45 ,$36.03 ,Bachelor's degree,6,86,17,102,"Financial Specialists, All Other",32,,,,,,
67,15-1111,Computer and Information Research Scientists,$32.25 ,$49.94 ,Doctoral or professional degree,4,<10,<10,0,Computer and Information Research Scientists,6,,,,,,
68,15-1121,Computer Systems Analysts,$25.43 ,$41.27 ,Bachelor's degree,291,228,35,263,Computer Systems Analysts,148,,,,,,
69,15-1122,Information Security Analysts,$25.74 ,$49.71 ,Bachelor's degree,42,25,<10,25,Information Security Analysts,43,,,,,,
70,15-1131,Computer Programmers,$22.96 ,$37.75 ,Bachelor's degree,30,99,17,116,Computer Programmers,46,,,,,,
71,15-1132,"Software Developers, Applications",$27.44 ,$43.68 ,Bachelor's degree,376,287,45,332,"Software Developers, Applications",427,,,,,,
72,15-1133,"Software Developers, Systems Software",$34.65 ,$48.56 ,Bachelor's degree,107,70,11,80,"Software Developers, Systems Software",3,,,,,,
73,15-1134,Web Developers,$18.97 ,$28.36 ,Associate's degree,106,44,<10,44,Web Developers,87,,,,,,
74,15-1141,Database Administrators,$24.11 ,$44.18 ,Bachelor's degree,39,76,<10,76,Database Administrators,119,,,,,,
75,15-1142,Network and Computer Systems Administrators,$24.45 ,$40.41 ,Bachelor's degree,89,151,19,170,Network and Computer Systems Administrators,85,,,,,,
76,15-1143,Computer Network Architects,$28.49 ,$53.21 ,Bachelor's degree,36,52,<10,52,Computer Network Architects,64,,,,,,
77,15-1151,Computer User Support Specialists,$15.94 ,$25.50 ,"Some college, no degree",161,243,33,276,Computer User Support Specialists,220,,,,,,
78,15-1152,Computer Network Support Specialists,$19.26 ,$29.95 ,Associate's degree,32,65,<10,65,Computer Network Support Specialists,11,,,,,,
79,15-1199,"Computer Occupations, All Other",$31.35 ,$51.92 ,Bachelor's degree,54,135,19,154,"Computer Occupations, All Other",433,,,,,,
80,15-2011,Actuaries,$32.28 ,$57.84 ,Bachelor's degree,28,12,<10,12,Actuaries,27,,,,,,
81,15-2021,Mathematicians,$31.73 ,$51.55 ,Master's degree,2,<10,<10,0,NA,NA,,,,,,
82,15-2031,Operations Research Analysts,$27.35 ,$39.30 ,Bachelor's degree,111,128,18,146,Operations Research Analysts,22,,,,,,
83,15-2041,Statisticians,$31.32 ,$46.02 ,Master's degree,31,20,<10,20,Statisticians,15,,,,,,
84,15-2091,Mathematical Technicians,Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,0,0,0,NA,NA,,,,,,
85,15-2099,"Mathematical Science Occupations, All Other",$18.75 ,$39.89 ,Bachelor's degree,1,<10,<10,0,NA,NA,,,,,,
86,17-1011,"Architects, Except Landscape and Naval",$24.74 ,$38.06 ,Bachelor's degree,10,69,28,98,"Architects, Except Landscape and Naval",24,,,,,,
87,17-1012,Landscape Architects,$21.41 ,$31.04 ,Bachelor's degree,0,<10,<10,0,NA,NA,,,,,,
88,17-1021,Cartographers and Photogrammetrists,$19.34 ,$27.69 ,Bachelor's degree,3,<10,<10,0,NA,NA,,,,,,
89,17-1022,Surveyors,$18.42 ,$26.54 ,Bachelor's degree,1,22,<10,22,NA,NA,,,,,,
90,17-2011,Aerospace Engineers,$34.49 ,$48.07 ,Bachelor's degree,3,<10,<10,0,NA,NA,,,,,,
91,17-2021,Agricultural Engineers,Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,<10,0,0,NA,NA,,,,,,
92,17-2031,Biomedical Engineers,$30.73 ,$39.91 ,Bachelor's degree,5,<10,<10,0,NA,NA,,,,,,
93,17-2041,Chemical Engineers,$35.66 ,$53.48 ,Bachelor's degree,-13,21,<10,21,Chemical Engineers,40,,,,,,
94,17-2051,Civil Engineers,$27.35 ,$44.61 ,Bachelor's degree,32,167,71,238,Civil Engineers,37,,,,,,
95,17-2061,Computer Hardware Engineers,$23.50 ,$47.63 ,Bachelor's degree,10,<10,<10,0,Computer Hardware Engineers,2,,,,,,
96,17-2071,Electrical Engineers,$33.24 ,$47.74 ,Bachelor's degree,24,70,15,85,Electrical Engineers,91,,,,,,
97,17-2072,"Electronics Engineers, Except Computer",$32.34 ,$48.23 ,Bachelor's degree,10,36,<10,36,NA,NA,,,,,,
98,17-2081,Environmental Engineers,$27.56 ,$40.05 ,Bachelor's degree,9,15,<10,15,Environmental Engineers,8,,,,,,
99,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",$25.31 ,$39.34 ,Bachelor's degree,1,13,<10,13,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",15,,,,,,
100,17-2112,Industrial Engineers,$28.87 ,$42.07 ,Bachelor's degree,16,193,33,226,Industrial Engineers,85,,,,,,
101,17-2121,Marine Engineers and Naval Architects,$33.25 ,$47.45 ,Bachelor's degree,1,<10,<10,0,NA,NA,,,,,,
102,17-2131,Materials Engineers,$30.73 ,$49.68 ,Bachelor's degree,1,<10,<10,0,Materials Engineers,7,,,,,,
103,17-2141,Mechanical Engineers,$29.95 ,$46.51 ,Bachelor's degree,26,190,41,231,Mechanical Engineers,90,,,,,,
104,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",$31.72 ,$56.81 ,Bachelor's degree,0,<10,<10,0,NA,NA,,,,,,
105,17-2161,Nuclear Engineers,$37.68 ,$53.47 ,Bachelor's degree,1,<10,<10,0,Nuclear Engineers,1,,,,,,
106,17-2171,Petroleum Engineers,$57.36 ,$57.38 ,Bachelor's degree,0,<10,<10,0,Petroleum Engineers,1,,,,,,
107,17-2199,"Engineers, All Other",$30.16 ,$49.49 ,Bachelor's degree,10,82,28,109,"Engineers, All Other",86,,,,,,
108,17-3011,Architectural and Civil Drafters,$18.19 ,$28.95 ,Associate's degree,3,38,12,50,Architectural and Civil Drafters,4,,,,,,
109,17-3012,Electrical and Electronics Drafters,$23.00 ,$37.44 ,Associate's degree,4,22,<10,22,Electrical and Electronics Drafters,3,,,,,,
110,17-3013,Mechanical Drafters,$18.61 ,$26.70 ,Associate's degree,-2,62,16,77,Mechanical Drafters,12,,,,,,
111,17-3019,"Drafters, All Other",$16.55 ,$22.66 ,Associate's degree,-7,36,<10,36,"Drafters, All Other",18,,,,,,
112,17-3021,Aerospace Engineering and Operations Technicians,Insf. Data,Insf. Data,Associate's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
113,17-3022,Civil Engineering Technicians,$16.27 ,$25.34 ,Associate's degree,6,42,11,53,Civil Engineering Technicians,6,,,,,,
114,17-3023,Electrical and Electronics Engineering Technicians,$15.81 ,$31.43 ,Associate's degree,7,109,16,125,Electrical And Electronics Engineering Technicians,34,,,,,,
115,17-3024,Electro-Mechanical Technicians,$15.66 ,$24.84 ,Associate's degree,0,<10,<10,0,Electro-Mechanical Technicians,2,,,,,,
116,17-3025,Environmental Engineering Technicians,$20.62 ,$29.99 ,Associate's degree,2,<10,<10,0,NA,NA,,,,,,
117,17-3026,Industrial Engineering Technicians,$19.53 ,$32.35 ,Associate's degree,4,27,<10,27,Industrial Engineering Technicians,3,,,,,,
118,17-3027,Mechanical Engineering Technicians,$16.89 ,$25.08 ,Associate's degree,2,36,<10,36,Mechanical Engineering Technicians,3,,,,,,
119,17-3029,"Engineering Technicians, Except Drafters, All Other",$17.18 ,$32.95 ,Associate's degree,5,37,<10,37,"Engineering Technicians, Except Drafters, All Other",42,,,,,,
120,17-3031,Surveying and Mapping Technicians,$16.01 ,$23.65 ,High school diploma or equivalent,-2,30,<10,30,Surveying and Mapping Technicians,4,,,,,,
121,19-1011,Animal Scientists,Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,<10,0,0,NA,NA,,,,,,
122,19-1012,Food Scientists and Technologists,$22.92 ,$40.91 ,Bachelor's degree,2,<10,<10,0,Food Scientists and Technologists,2,,,,,,
